Inicio_exclusivo,Fecha,Dias_intervalo,Observado_PLM2,EE_repeticiones_PLM2,Sigma_ajuste_PLM2,Base_PLM2_ajuste,Calibrado_PLM2_ajuste,Fraccion_base_intervalo,Fraccion_calibrada_intervalo
2026-02-01,2026-02-19,18,600.0,,170.8,339.99487205974054,774.8946609615567,0.08637180400912055,0.19621784968941053
2026-02-19,2026-02-24,5,0.0,,170.8,0.0,0.0,0.0,0.0
2026-02-24,2026-03-06,10,250.0,,170.8,67.4108139614388,94.20346068803265,0.017124945374322076,0.023854081620035467
2026-03-06,2026-03-20,14,1708.0,,170.8,2321.9314462137886,1931.6397947430603,0.5898600957715404,0.48912739497863345
2026-03-20,2026-04-09,20,952.0,,170.8,243.96036522082332,174.87225090060895,0.06197533722550963,0.04428093103582098
2026-04-09,2026-04-24,15,72.0,,170.8,308.2686071446378,234.35861755395723,0.07831210970082758,0.05934399384757383
2026-04-24,2026-05-12,18,8.0,,170.8,443.9546252533169,405.24112720335484,0.11278158887815348,0.10261464763079586
2026-05-12,2026-05-27,15,46.0,,170.8,1.0498835970598837,1.166738865407227,0.0002667109057507,0.00029544014541948993
2026-05-27,2026-06-17,21,0.0,,170.8,120.05188816615927,149.75437358862004,0.030497807489844764,0.03792061379114531
2026-06-17,2026-07-03,16,35.0,,170.8,0.012429140537782747,0.017926261766257418,3.1574808291301437e-06,4.5392654175469005e-06
2026-07-03,2026-07-16,13,2.5,,170.8,86.86506276456872,167.35102405356017,0.022067074514650287,0.04237641545027948
2026-07-16,2026-07-31,15,260.0,,170.8,6.473466244731043e-06,2.5162731586164574e-05,1.6445099726425383e-09,6.371675187466508e-09
2026-07-31,2026-08-15,15,0.0,,170.8,4.459010476606559e-09,1.7332139945356397e-08,1.1327605520250472e-12,4.388822638645706e-12
2026-08-15,2026-08-30,15,0.0,,170.8,3.0592054627311494e-12,1.2276439211504366e-11,7.771561172376096e-16,3.1086244689504383e-15
