FECHA,PLM2
2026-02-01,0.0
2026-02-19,600.0
2026-02-24,0.0
2026-03-06,250.0
2026-03-20,1708.0
2026-04-09,952.0
2026-04-24,72.0
2026-05-12,8.0
2026-05-27,46.0
2026-06-17,0.0
2026-07-03,35.0
2026-07-16,2.5
2026-07-31,260.0
2026-08-15,0.0
2026-08-30,0.0
